Hora,Minuto,Luminosidade,Temperatura,Umidade
8,40,117.32026672363281,21.899999618530273,0
8,40,125.64323425292969,21.899999618530273,0
8,40,111.89722442626953,21.899999618530273,0
8,40,117.18368530273438,21.899999618530273,0
8,40,115.42810821533203,21.899999618530273,0
8,40,101.25553894042969,21.899999618530273,0
8,40,113.44772338867188,21.899999618530273,0
8,40,110.7535400390625,21.899999618530273,0
8,40,114.76268768310547,21.899999618530273,0
8,40,108.02469635009766,21.899999618530273,0
8,40,107.29647827148438,21.899999618530273,0
8,40,101.36731719970703,21.899999618530273,0
8,40,101.59141540527344,21.899999618530273,0
8,40,97.12643432617188,21.899999618530273,0
8,40,119.39620208740234,22.0,0
8,40,114.49798583984375,21.899999618530273,0
8,40,112.79810333251953,22.0,0
8,40,112.02531433105469,22.0,0
8,40,91.92654418945312,22.0,0
8,40,92.42002868652344,22.0,0
8,40,97.12643432617188,22.0,0
8,40,104.79969024658203,22.0,0
8,40,100.03663635253906,22.0,0
8,40,87.54197692871094,22.0,0
8,40,88.09845733642578,22.0,0
8,40,89.22501373291016,22.0,0
8,40,96.599853515625,22.0,0
8,40,98.9454574584961,22.0,0
8,44,112.66879272460938,22.200000762939453,0
8,44,119.9585189819336,22.200000762939453,0
8,44,107.65973663330078,22.200000762939453,0
8,44,108.02469635009766,22.200000762939453,0
8,44,125.19245910644531,22.200000762939453,0
8,44,125.49271392822266,22.200000762939453,0
8,44,112.2820816040039,22.200000762939453,0
8,44,111.89722442626953,22.200000762939453,0
8,44,109.8750991821289,22.200000762939453,0
8,44,85.36021423339844,22.200000762939453,0
8,44,96.599853515625,22.200000762939453,0
8,44,86.3515396118164,22.200000762939453,0
8,44,83.24657440185547,22.200000762939453,0
8,44,131.07867431640625,22.299999237060547,0
8,45,130.44053649902344,22.299999237060547,0
8,45,132.36868286132812,22.299999237060547,0
8,45,132.6940155029297,22.299999237060547,0
8,45,129.1776123046875,22.299999237060547,0
8,45,130.59963989257812,22.299999237060547,0
8,45,78.88609313964844,22.299999237060547,0
8,45,83.24657440185547,22.399999618530273,0
8,45,79.70233917236328,22.399999618530273,0
8,45,103.9849624633789,22.399999618530273,0
8,45,122.24559783935547,22.399999618530273,0
8,45,113.18724060058594,22.5,0
8,45,110.7535400390625,22.5,0
8,45,110.50157928466797,22.5,0
8,45,112.4107894897461,22.5,0
8,45,100.47758483886719,22.5,0
8,45,111.38690948486328,22.5,0
